GrainID,Area,Diameter,GSAR,MAO,Schmid_Factor,Taylor_Factor,Num_Neighbors,Sector1_Phase,Sector2_Phase,Sector3_Phase,Sector4_Phase,Sector5_Phase,Sector6_Phase,Sector7_Phase,Sector8_Phase,Surrounding_Ferrite,Surrounding_Martensite,Surrounding_RA,Sector1_TF,Sector2_TF,Sector3_TF,Sector4_TF,Sector5_TF,Sector6_TF,Sector7_TF,Sector8_TF
8,0.3584,0.68,0.55,59,0.491851901773528,2.64053,3,3,3,2,3,2,3,3,2,0.992181985992725,0.0078180140072751,0,2.39338,2.39338,2.94182,2.39338,2.94182,2.38714,2.38714,2.94182
27,0.0768,0.31,0.38,51.3,0.445893657705753,3.06903,2,2,2,2,2,2,2,2,2,1,0,0,2.401,2.401,2.83582,2.401,2.83582,2.401,2.401,2.83582
32,0.0384,0.22,0.43,45,0.490831466744721,2.59551,2,0,2,2,2,2,2,2,2,1,0,0,0,2.08386,2.08386,2.08386,2.08386,2.08386,2.08386,2.08386
40,0.6528,0.91,0.56,104.9,0.447508149991937,3.39994,6,3,3,2,2,2,2,2,2,0.772765246449457,0.227234753550543,0,3.16524,2.34107,2.094,3.06059,3.11139,3.06059,3.06059,3.11139
63,0.0832,0.33,0.38,63.4,0.490698972613533,2.64581,2,2,2,2,2,2,2,2,2,1,0,0,2.08386,2.08386,2.08386,2.08386,2.08386,2.81592,2.81592,2.81592
72,0.064,0.29,0.54,143.1,0.341374309137222,2.97246,3,2,2,2,2,2,3,3,3,0.944344599686938,0.0556554003130616,0,2.42593,3.06842,3.06842,2.42593,3.06842,3.01211,3.01211,3.01211
76,0.064,0.29,0.39,149,0.483836464545888,2.47981,2,2,2,2,2,2,2,2,2,1,0,0,2.94182,2.94182,2.94182,2.94182,2.9238,2.94182,2.9238,2.9238
78,0.032,0.2,0.53,146.3,0.486373070263913,2.62195,1,2,2,2,2,2,2,2,2,1,0,0,2.81592,2.81592,2.81592,2.81592,2.81592,2.81592,2.81592,2.81592
81,0.2944,0.61,0.32,36,0.499469150793839,3.28545,3,3,3,3,3,3,2,2,2,0.596730781855183,0.403269218144817,0,3.18679,3.03338,3.03338,3.18679,3.03338,2.68126,2.68126,2.68126
82,0.0576,0.27,0.3,38.7,0.453952769474725,3.57424,4,3,3,3,2,3,2,2,2,0.78254893701922,0.21745106298078,0,2.14062,2.14062,2.79887,3.12438,2.79887,3.12438,3.12438,3.12438
88,0.0832,0.33,0.4,105.9,0.484694811680865,2.37281,2,3,3,3,3,2,2,2,2,0.870208307654382,0.129791692345618,0,2.14062,2.14062,2.14062,2.14062,3.12438,3.12438,3.12438,3.12438
90,0.064,0.29,0.39,59,0.47632219245427,3.29477,3,2,2,2,2,2,2,2,2,1,0,0,2.08386,2.08386,2.08386,2.08386,2.87676,2.89795,2.89795,2.87676
113,0.0832,0.33,0.59,21.8,0.443369393241735,3.5589,3,2,3,3,2,3,2,2,2,0.905397319291527,0.094602680708473,0,3.12438,2.91354,2.91354,3.12438,2.91354,3.12438,3.12438,2.85388
127,0.0576,0.27,0.45,111.8,0.483104495946775,2.36226,1,2,2,2,2,2,2,2,2,1,0,0,3.12438,3.12438,3.12438,3.12438,3.12438,3.12438,3.12438,3.12438
130,0.2688,0.59,0.38,70,0.486960538412919,2.33848,3,2,2,2,2,2,2,2,2,1,0,0,2.37187,2.37187,2.37187,3.1593,3.12438,3.1593,3.1593,3.12438
133,0.1344,0.41,0.51,156.8,0.469362602681131,3.67074,4,2,2,2,2,2,2,2,2,1,0,0,2.9238,2.9238,2.9238,2.91292,3.14486,2.91292,2.91292,3.14486
141,0.096,0.35,0.35,113.2,0.486013948567722,2.37397,1,2,2,2,2,2,2,2,2,1,0,0,3.12438,3.12438,3.12438,3.12438,3.12438,3.12438,3.12438,3.12438
146,0.0512,0.26,0.42,36.9,0.472149138476052,3.63244,2,2,2,2,2,2,3,3,3,0.944830983313835,0.0551690166861646,0,3.14486,3.14486,3.14486,3.14486,3.14486,3.06542,3.06542,3.06542
