GrainID,Area,Diameter,GSAR,MAO,Schmid_Factor,Taylor_Factor,Num_Neighbors,Sector1_Phase,Sector2_Phase,Sector3_Phase,Sector4_Phase,Sector5_Phase,Sector6_Phase,Sector7_Phase,Sector8_Phase,Surrounding_Ferrite,Surrounding_Martensite,Surrounding_RA,Sector1_TF,Sector2_TF,Sector3_TF,Sector4_TF,Sector5_TF,Sector6_TF,Sector7_TF,Sector8_TF
137,0.416,0.73,0.42,59.7,0.486115034130199,2.48397,4,2,2,2,2,2,2,2,2,1,0,0,2.08338,2.92631,2.92631,2.93948,2.92631,2.93948,2.93948,2.92631
139,0.352,0.67,0.52,142.1,0.485034033022042,2.47078,3,2,2,2,2,2,2,2,2,1,0,0,2.92631,2.92631,2.93783,2.92631,2.93783,2.09354,2.93783,2.93783
142,1.197,1.23,0.41,33,0.474790170557756,2.52541,5,1,2,2,1,1,2,2,2,0.997488678278452,0,0.00251132172154797,3.64278,2.88296,2.88296,3.64278,3.61638,2.79242,2.79242,2.79242
144,0.0704,0.3,0.45,149,0.470318454419664,3.61638,2,2,2,2,1,2,1,1,2,0.973165646647387,0,0.0268343533526128,2.88296,2.88296,2.88296,2.52541,2.88296,2.52541,2.52541,2.88296
147,0.0832,0.33,0.43,38.7,0.468780369855482,3.55951,3,2,2,3,2,3,2,3,3,0.95136661720358,0.0486333827964195,0,2.90262,2.90262,3.18581,2.90262,3.18581,2.90262,2.91017,2.91017
150,0.032,0.2,0.39,135,0.492852761547992,2.44066,2,2,2,2,2,2,2,2,2,1,0,0,2.93948,2.93948,2.09354,2.93948,2.09354,2.93948,2.93948,2.09354
155,0.0512,0.26,0.59,26.6,0.480210874103448,2.6432,2,3,3,3,3,3,3,3,3,0,1,0,2.75534,2.75534,2.37743,2.75534,2.37743,2.75534,2.37743,2.37743
156,0.1792,0.48,0.44,148,0.489385070743618,2.49178,1,2,2,2,2,2,2,2,2,1,0,0,2.93783,2.93783,2.93783,2.93783,2.93783,2.93783,2.93783,2.93783
157,0.1088,0.37,0.57,108.4,0.482444597862744,2.51323,3,2,3,3,2,2,2,2,2,0.969553239228606,0.0304467607713937,0,2.93783,2.75534,2.75534,2.93783,2.99325,2.99325,2.99325,2.99325
160,0.256,0.57,0.5,45,0.466210547048646,3.60996,4,2,3,2,2,2,2,2,2,0.998630107664976,0.00136989233502429,0,2.88296,3.60033,2.97721,2.88296,2.97721,2.88296,2.88296,2.97721
