GrainID,Area,Diameter,GSAR,MAO,Schmid_Factor,Taylor_Factor,Num_Neighbors,Sector1_Phase,Sector2_Phase,Sector3_Phase,Sector4_Phase,Sector5_Phase,Sector6_Phase,Sector7_Phase,Sector8_Phase,Surrounding_Ferrite,Surrounding_Martensite,Surrounding_RA,Sector1_TF,Sector2_TF,Sector3_TF,Sector4_TF,Sector5_TF,Sector6_TF,Sector7_TF,Sector8_TF
116,0.032,0.2,0.37,11.3,0.441473250290463,3.64605,3,3,1,1,3,1,3,3,3,0,0.538167938931298,0.461832061068702,3.17115,3.64696,3.64696,3.17115,3.64696,3.17795,3.17795,3.17795
119,0.0448,0.24,0.49,63.4,0.447037373513509,3.64283,4,2,2,3,2,3,3,3,3,0.660309463835912,0.339690536164088,0,2.0871,2.0871,2.79065,2.0871,2.80181,2.16211,2.80181,2.80181
120,0.4224,0.73,0.39,168.7,0.380587066007581,3.24101,4,2,2,2,2,3,2,2,3,0.962206474920106,0.0377935250798944,0,2.92601,2.92601,2.92601,3.07897,2.12809,3.07897,3.07897,2.96322
128,0.1536,0.44,0.32,16.7,0.386116006482592,3.25893,2,3,3,3,2,2,2,2,2,0.983018999234463,0.0169810007655369,0,2.96322,2.96322,2.96322,3.07897,3.07897,3.07897,3.07897,3.07897
137,0.2304,0.54,0.5,161.6,0.477187523039229,2.84559,4,2,2,2,3,2,3,3,2,0.626687781296883,0.373312218703117,0,2.41286,2.41286,2.36652,2.39242,2.36652,2.8697,2.8697,2.36652
142,0.0576,0.27,0.46,21.8,0.424815832509324,3.00569,6,2,2,3,3,3,2,2,2,0.894451821727944,0.101232467424683,0.00431571084737322,2.36652,2.36652,2.36284,2.8697,2.36284,2.36795,2.36795,2.36795
147,0.608,0.88,0.63,65.2,0.385430533669115,3.28694,4,2,2,2,2,2,2,2,3,0.984261744005042,0.0157382559949576,0,3.07897,3.07897,3.07897,2.36795,3.07897,2.36795,2.36795,2.99709
150,0.0832,0.33,0.41,128.7,0.474003105348793,3.07054,4,3,3,1,2,1,2,2,2,0.961472933372708,0.0352559005928988,0.00327116603439268,2.62112,2.62112,3.00569,2.36795,3.00569,2.36795,2.36795,2.36795
153,0.032,0.2,0.39,135,0.43323183747609,3.24164,1,2,2,2,2,2,2,2,2,1,0,0,3.40936,3.40936,3.40936,3.40936,3.40936,3.40936,3.40936,3.40936
154,0.1536,0.44,0.57,74.1,0.481700713094048,2.94245,2,3,3,3,3,3,3,3,3,0,1,0,2.4772,2.4772,2.93975,2.4772,2.93975,2.4772,2.4772,2.93975
155,0.1024,0.36,0.43,15.9,0.393387512184105,3.37347,2,2,2,2,2,2,2,2,2,1,0,0,3.07897,3.07897,3.07897,3.07897,3.07897,2.09558,2.09558,2.09558
157,0.608,0.88,0.61,10.6,0.3845539855702,3.33531,5,1,2,2,1,2,2,2,2,0.9884845910614,0.00943885978573788,0.00207654915286233,2.40545,3.07897,3.07897,2.40545,2.92278,2.09558,2.09558,2.92278
160,0.0384,0.22,0.32,111.8,0.482416977100256,2.95284,2,3,3,3,3,3,3,3,3,0,1,0,2.46571,2.46571,2.46571,2.4772,2.4772,2.4772,2.4772,2.4772
163,0.0832,0.33,0.55,121,0.364584861170994,3.36433,3,2,2,2,2,2,2,2,2,0.954397825942865,0.0456021740571353,0,2.21132,2.21132,3.40936,2.21132,3.40936,3.40936,3.40936,3.40936
167,0.0704,0.3,0.46,149,0.480437290877555,2.40545,2,1,1,1,2,1,2,2,2,0.939139139139139,0,0.0608608608608609,3.33531,3.33531,3.33531,2.09558,3.33531,2.09558,2.09558,2.09558
168,0.1216,0.39,0.21,100.3,0.371942226197508,3.39939,1,2,2,2,2,2,2,2,2,1,0,0,3.40936,3.40936,3.40936,3.40936,3.40936,3.40936,3.40936,3.40936
169,0.288,0.61,0.56,116.6,0.475069462877357,3.02003,3,3,3,3,2,3,2,2,2,0.983273318620049,0.0167266813799512,0,2.80616,2.80616,2.46282,2.36795,2.46282,2.36795,2.36795,2.36795
170,0.1408,0.42,0.52,140.2,0.479942169796078,2.93358,2,2,3,3,2,3,2,2,2,0.986573739539871,0.0134262604601291,0,2.36795,2.80616,2.80616,2.36795,2.80616,2.36795,2.36795,2.36795
172,0.0448,0.24,0.38,36.9,0.374690972166993,3.29291,2,2,2,2,2,2,2,2,2,1,0,0,2.92278,2.92278,2.92278,2.09558,2.09558,2.09558,2.09558,2.09558
173,0.0448,0.24,0.38,143.1,0.372108224583973,3.33877,2,0,2,2,2,2,2,2,2,0.977332388849535,0.0226676111504646,0,0,2.09558,2.09558,2.09558,2.09558,2.09558,2.09558,2.09558
176,0.0704,0.3,0.43,121,0.374177121116798,3.35571,4,2,3,3,2,2,2,2,2,0.950596558546675,0.0494034414533245,0,3.16554,2.99709,2.99709,3.16554,2.09558,2.47804,2.09558,2.09558
177,0.3136,0.63,0.32,155,0.370709389116781,3.27743,2,3,3,2,3,2,2,2,2,0.977332388849535,0.0226676111504646,0,3.15043,3.15043,2.09558,3.15043,2.09558,2.09558,2.09558,2.09558
182,0.1344,0.41,0.44,140.2,0.375461837320418,3.29469,2,2,2,2,2,2,2,2,2,1,0,0,2.09558,3.40936,3.40936,2.09558,3.40936,2.09558,2.09558,3.40936
188,0.0448,0.24,0.49,116.6,0.497888472630387,2.93962,3,3,2,2,3,2,3,2,2,0.75702698110339,0.24297301889661,0,2.4772,2.36795,2.36795,2.4772,2.36795,2.4772,2.36795,2.36795
191,0.0576,0.27,0.56,26.6,0.369131141209761,3.33932,1,2,2,2,2,2,2,2,2,1,0,0,2.09558,2.09558,2.09558,2.09558,2.09558,2.09558,2.09558,2.09558
197,0.0896,0.34,0.37,144.5,0.383113040547554,2.73933,4,2,2,2,2,2,2,2,2,1,0,0,2.09558,2.09558,3.40936,2.09558,2.97011,2.09558,2.97011,2.97011
213,0.064,0.29,0.39,71.6,0.441456422998779,3.45849,3,2,3,3,2,2,2,2,2,0.888571188293668,0.111428811706333,0,2.97011,3.13063,3.13063,2.97011,2.21439,2.97011,2.97011,2.21439
214,0.5184,0.81,0.39,82.9,0.478931984488499,2.82315,5,2,2,2,2,2,2,1,3,0.980165661801995,0.0144249732349129,0.00540936496309235,2.36072,3.16554,3.16554,2.36072,3.16554,2.36072,3.30982,2.30201
225,0.0896,0.34,0.36,74.1,0.47697325326672,2.74927,1,3,3,3,3,3,3,3,3,0,1,0,3.16037,3.16037,3.16037,3.16037,3.16037,3.16037,3.16037,3.16037
