GrainID,Area,Diameter,GSAR,MAO,Schmid_Factor,Taylor_Factor,Num_Neighbors,Sector1_Phase,Sector2_Phase,Sector3_Phase,Sector4_Phase,Sector5_Phase,Sector6_Phase,Sector7_Phase,Sector8_Phase,Surrounding_Ferrite,Surrounding_Martensite,Surrounding_RA,Sector1_TF,Sector2_TF,Sector3_TF,Sector4_TF,Sector5_TF,Sector6_TF,Sector7_TF,Sector8_TF
13,0.2752,0.59,0.34,48,0.469825882048417,3.09335,2,3,3,3,2,3,2,2,2,0.984574596288262,0.0154254037117378,0,2.82538,2.82538,2.82538,2.85339,2.82538,2.85339,2.85339,2.85339
21,0.0448,0.24,0.38,53.1,0.494548891597867,3.26825,3,2,2,2,2,2,2,2,2,1,0,0,2.82237,2.82237,2.84865,2.9352,2.84865,2.9352,2.9352,2.84865
26,0.0768,0.31,0.59,111.8,0.458699603441035,3.08965,2,2,2,2,2,2,2,2,2,1,0,0,3.01143,2.78839,2.78839,3.01143,2.78839,3.01143,3.01143,3.01143
38,0.0896,0.34,0.57,18.4,0.495070426959042,3.20977,3,2,2,2,2,3,2,2,3,0.808222247115492,0.191777752884508,0,2.82471,2.82471,2.82471,2.3101,3.04539,2.3101,2.3101,3.04539
42,0.1024,0.36,0.52,71.6,0.457091853774288,3.11763,3,3,3,3,3,3,2,2,2,0.994546428397526,0.00545357160247358,0,2.8353,2.8353,2.8353,2.92069,2.8353,2.85339,2.85339,2.85339
43,0.0384,0.22,0.45,63.4,0.466183923426764,2.51102,3,2,2,3,2,3,2,2,3,0.955414012738854,0.0445859872611465,0,3.04052,3.04052,2.92107,3.04052,2.92107,2.65243,2.65243,2.92107
56,0.0704,0.3,0.46,31,0.490438270393783,2.40902,4,3,3,3,2,3,2,2,2,0.972999709048589,0.0270002909514111,0,3.16573,3.16573,2.49574,3.00629,2.49574,3.00629,3.00629,2.38127
64,0.4672,0.77,0.19,74.7,0.471715245087809,2.50651,5,2,2,2,2,2,2,2,2,0.99060578038076,0,0.00939421961924054,3.0737,2.88258,2.88258,2.86078,2.93844,2.86078,2.86078,2.93844
69,0.5312,0.82,0.44,80,0.492577017809735,2.3829,5,3,2,2,2,2,2,2,2,0.937939951156443,0.062060048843557,0,3.01549,2.86279,2.86279,2.88683,2.86279,2.986,2.89782,2.89782
70,0.0832,0.33,0.57,121,0.492709130185364,2.39841,3,3,3,3,3,3,3,3,3,0,1,0,3.11522,3.11522,3.11668,3.11522,3.11668,3.07213,3.11668,3.11668
