GrainID,Area,Diameter,GSAR,MAO,Schmid_Factor,Taylor_Factor,Num_Neighbors,Sector1_Phase,Sector2_Phase,Sector3_Phase,Sector4_Phase,Sector5_Phase,Sector6_Phase,Sector7_Phase,Sector8_Phase,Surrounding_Ferrite,Surrounding_Martensite,Surrounding_RA,Sector1_TF,Sector2_TF,Sector3_TF,Sector4_TF,Sector5_TF,Sector6_TF,Sector7_TF,Sector8_TF
4,0.4416,0.75,0.34,29.7,0.411551269046735,2.79422,5,3,2,2,3,2,3,3,3,0.0764262648008611,0.923573735199139,0,2.93256,2.7359,2.7359,2.93256,2.7359,2.93256,2.67401,2.78371
8,0.064,0.29,0.61,21.8,0.419957687256402,2.78649,2,2,2,3,2,3,2,3,3,0.0558085456835578,0.944191454316442,0,2.69925,2.69925,2.78371,2.69925,2.78371,2.69925,2.78371,2.78371
12,0.544,0.83,0.45,45,0.453876008753216,2.95206,6,3,3,3,3,3,3,2,2,0.197756281838475,0.802243718161525,0,2.89854,2.89854,2.90438,2.70617,2.90438,2.70617,2.643,2.643
30,0.4736,0.78,0.53,48,0.490332494557558,3.36289,6,3,3,3,3,2,3,2,2,0.607990407890867,0.392009592109133,0,3.10646,2.66631,2.66631,3.10646,2.52429,3.06464,2.52429,2.52429
35,0.0704,0.3,0.44,121,0.473969494802451,3.66405,3,3,3,3,3,3,3,3,3,0,1,0,3.17893,3.17893,3.13583,3.17893,3.15129,3.15129,3.15129,3.15129
38,0.064,0.29,0.54,53.1,0.430518750524698,2.82323,2,3,3,3,2,2,2,2,2,0.798947802764597,0.201052197235403,0,2.78371,2.78371,2.78371,2.70382,2.70382,2.70382,2.70382,2.70382
41,0.0704,0.3,0.26,50.2,0.462324437226281,2.95588,3,3,2,2,3,2,3,1,1,0.660485566813229,0.308927547314089,0.0305868858726821,2.73066,2.643,2.643,2.73066,2.643,2.73066,3.61693,3.61693
45,0.064,0.29,0.67,63.4,0.459220851773811,3.61693,5,3,2,2,3,2,3,3,3,0.504600554987586,0.469694756827808,0.0257046881846064,2.73066,2.643,2.643,2.73066,2.643,2.73066,2.72093,2.72093
49,0.2496,0.56,0.57,5.7,0.46441254617921,2.92061,3,2,3,3,3,3,3,3,3,0.170980353342901,0.829019646657099,0,2.643,3.10646,3.10646,2.92149,3.10646,2.92149,2.92149,3.10646
52,0.2112,0.52,0.64,119.7,0.490977519657259,3.33574,3,3,3,3,3,2,3,2,2,0.48289384719405,0.51710615280595,0,3.10646,3.10646,3.10646,3.10246,2.68211,3.10246,2.68211,2.68211
62,0.0896,0.34,0.47,108.4,0.433760678214361,3.60638,2,3,3,3,3,3,3,3,3,0,1,0,3.15129,3.15129,3.15129,3.15129,3.15106,3.15106,3.15106,3.15106
63,0.0448,0.24,0.51,63.4,0.481399625956611,3.64215,3,3,3,3,2,3,2,2,3,0.397684216907642,0.602315783092358,0,3.15129,3.15129,3.15129,2.97684,3.1642,2.97684,2.97684,3.1642
